S0,P,APE,kappa,runtime,K,dt
100,10000,169.43,4.2861e+17,0.0424493,95,0.0001
100,10000,202.917,2.95017e+17,0.050357,95,0.0001
100,10000,201.803,4.53527e+17,0.0430801,95,0.0001
100,10000,264.944,2.77717e+17,0.0418141,95,0.0001
100,10000,164.984,8.16138e+16,0.0429119,95,0.0001
100,10000,118.944,1.96066e+17,0.0420692,95,0.0001
100,10000,237.953,3.61099e+17,0.0561843,95,0.0001
100,10000,217.9,2.01382e+17,0.0422869,95,0.0001
100,10000,167.019,4.7524e+17,0.0504277,95,0.0001
100,10000,160.205,4.31512e+17,0.0419031,95,0.0001
100,10000,232.51,1.6996e+17,0.0496096,95,0.0001
100,10000,206.854,1.44034e+17,0.0439153,95,0.0001
100,10000,84.2689,2.62981e+17,0.0451879,95,0.0001
100,10000,235.995,2.9255e+17,0.0425322,95,0.0001
100,10000,181.374,2.31188e+17,0.0424293,95,0.0001
100,10000,164.75,2.90854e+17,0.042986,95,0.0001
100,10000,203.218,5.03721e+17,0.0426324,95,0.0001
100,10000,133.995,2.616e+17,0.0424973,95,0.0001
100,10000,264.944,1.34846e+17,0.0430102,95,0.0001
100,10000,192.568,2.8405e+17,0.0572745,95,0.0001
100,10000,139.302,2.59462e+17,0.0556377,95,0.0001
100,10000,122.148,4.64664e+17,0.053049,95,0.0001
100,10000,190.999,5.7342e+16,0.049854,95,0.0001
100,10000,120.062,2.74794e+17,0.040684,95,0.0001
100,10000,145.696,2.76002e+17,0.0404901,95,0.0001
100,10000,113.198,2.40827e+17,0.0475263,95,0.0001
100,10000,193.139,2.75128e+17,0.0504616,95,0.0001
100,10000,124.303,1.47944e+17,0.0549747,95,0.0001
100,10000,155.438,2.66654e+17,0.0479837,95,0.0001
100,10000,127.127,3.53709e+17,0.0587284,95,0.0001
100,10000,128.63,1.46756e+17,0.0623238,95,0.0001
100,10000,143.014,2.54219e+17,0.0625436,95,0.0001
100,10000,202.789,8.6633e+16,0.0589149,95,0.0001
100,10000,137.298,2.06067e+17,0.0478569,95,0.0001
100,10000,183.375,1.27526e+17,0.0498446,95,0.0001
100,10000,160.56,2.01107e+17,0.0529347,95,0.0001
100,10000,146.68,3.91082e+17,0.04686,95,0.0001
