N,P,APE,kappa,runtime,K,dt
7500,10000,0.640909,3.81043e+14,18.7751,110,0.000133333
5000,10000,0.33787,2.67262e+14,9.64578,110,0.0002
2500,10000,0.0473911,1.32951e+14,4.83079,110,0.0004
1000,10000,0.680525,5.38935e+13,1.74256,110,0.001
500,10000,0.371955,2.69261e+13,0.834694,110,0.002
250,10000,0.61756,1.38764e+13,0.422061,110,0.004
200,10000,0.72811,1.15877e+13,0.332829,110,0.005
150,10000,1.00678,8.63086e+12,0.247717,110,0.00666667
100,10000,0.235897,6.58481e+12,0.165223,110,0.01
50,10000,0.696181,3.68793e+12,0.0850154,110,0.02
35,10000,0.0418664,3.04079e+12,0.0619624,110,0.0285714
20,10000,0.719932,2.24659e+12,0.0347877,110,0.05
15,10000,0.782769,1.89969e+12,0.0240444,110,0.0666667
10,10000,0.578991,1.53612e+12,0.0177586,110,0.1
5,10000,2.63441,1.08496e+12,0.0086646,110,0.2
3,10000,2.54605,8.0614e+11,0.0052823,110,0.333333
2,10000,4.30402,5.98059e+11,0.003177,110,0.5
1,10000,12.382,0,0.0012521,110,1
10000,10000,1.14557,2.0741e+14,20.8371,110,0.0001
7500,10000,0.739789,4.11801e+14,18.6111,110,0.000133333
5000,10000,0.289949,2.58604e+14,10.0342,110,0.0002
2500,10000,0.713388,1.30756e+14,4.85653,110,0.0004
1000,10000,0.0524176,5.2728e+13,1.72127,110,0.001
500,10000,1.0516,2.6645e+13,0.865654,110,0.002
250,10000,0.15722,1.45564e+13,0.410052,110,0.004
200,10000,0.217755,1.17787e+13,0.324762,110,0.005
150,10000,0.965743,8.98633e+12,0.246452,110,0.00666667
100,10000,0.265676,6.41435e+12,0.166765,110,0.01
50,10000,0.61801,3.67986e+12,0.0856881,110,0.02
35,10000,1.3734,3.11285e+12,0.062648,110,0.0285714
20,10000,0.12262,2.26469e+12,0.0378143,110,0.05
15,10000,1.93959,1.87071e+12,0.026106,110,0.0666667
10,10000,0.679348,1.57838e+12,0.0175182,110,0.1
5,10000,1.05731,1.10464e+12,0.0092325,110,0.2
3,10000,3.87053,8.2722e+11,0.0052276,110,0.333333
2,10000,4.97686,6.00734e+11,0.0033492,110,0.5
1,10000,12.2292,0,0.001235,110,1
10000,10000,0.284276,2.10067e+14,21.8209,110,0.0001
7500,10000,0.699165,3.88056e+14,18.5649,110,0.000133333
5000,10000,1.12699,2.69662e+14,9.747,110,0.0002
2500,10000,0.0631119,1.36366e+14,4.89372,110,0.0004
1000,10000,0.746027,5.20542e+13,1.71699,110,0.001
500,10000,0.559365,2.65427e+13,0.850877,110,0.002
250,10000,0.438518,1.37109e+13,0.415849,110,0.004
200,10000,0.12727,1.11912e+13,0.326176,110,0.005
150,10000,0.360146,8.90439e+12,0.24749,110,0.00666667
100,10000,1.65899,6.49051e+12,0.164095,110,0.01
50,10000,0.911063,3.72439e+12,0.0843958,110,0.02
35,10000,1.16152,3.0333e+12,0.0617431,110,0.0285714
20,10000,0.963359,2.28059e+12,0.0360009,110,0.05
15,10000,0.589752,1.94195e+12,0.0269515,110,0.0666667
10,10000,1.1983,1.69401e+12,0.0178806,110,0.1
5,10000,1.37133,1.02483e+12,0.0089434,110,0.2
3,10000,3.39543,7.89483e+11,0.005036,110,0.333333
2,10000,5.13442,6.06434e+11,0.003278,110,0.5
1,10000,11.0536,0,0.001365,110,1
10000,10000,0.486806,2.08508e+14,20.2649,110,0.0001
7500,10000,0.652739,3.88225e+14,20.1196,110,0.000133333
5000,10000,0.320275,2.69287e+14,11.567,110,0.0002
2500,10000,0.637018,1.27093e+14,5.4881,110,0.0004
1000,10000,0.435007,5.30008e+13,1.9791,110,0.001
500,10000,0.116694,2.69547e+13,0.980572,110,0.002
250,10000,1.71538,1.4245e+13,0.465232,110,0.004
200,10000,1.03425,1.1749e+13,0.393095,110,0.005
150,10000,0.0252348,9.08271e+12,0.316326,110,0.00666667
100,10000,0.252403,6.10774e+12,0.215615,110,0.01
50,10000,0.255499,3.84201e+12,0.0982753,110,0.02
35,10000,0.346129,2.99635e+12,0.0758075,110,0.0285714
20,10000,0.314973,2.21883e+12,0.0398007,110,0.05
15,10000,0.211301,1.95129e+12,0.0274671,110,0.0666667
10,10000,1.37147,1.51223e+12,0.0197831,110,0.1
5,10000,1.76286,1.06194e+12,0.0091626,110,0.2
3,10000,2.41651,8.15851e+11,0.0054502,110,0.333333
2,10000,4.10646,6.10208e+11,0.0032899,110,0.5
1,10000,11.2955,0,0.0015087,110,1
10000,10000,0.677777,2.0375e+14,25.8187,110,0.0001
7500,10000,0.445395,3.86393e+14,20.528,110,0.000133333
5000,10000,0.948684,2.60933e+14,10.1169,110,0.0002
2500,10000,1.01048,1.3481e+14,5.03469,110,0.0004
1000,10000,0.275312,5.26851e+13,1.81491,110,0.001
500,10000,0.295323,2.7396e+13,0.923086,110,0.002
250,10000,0.338419,1.38215e+13,0.49042,110,0.004
200,10000,0.918717,1.16248e+13,0.353217,110,0.005
150,10000,0.248259,8.76302e+12,0.265603,110,0.00666667
100,10000,0.923738,6.56361e+12,0.179437,110,0.01
50,10000,1.0614,3.75516e+12,0.0958991,110,0.02
35,10000,1.8997,3.00881e+12,0.0669225,110,0.0285714
20,10000,2.01391,2.14799e+12,0.0325172,110,0.05
15,10000,0.108557,1.85329e+12,0.02412,110,0.0666667
10,10000,0.993745,1.47582e+12,0.0182948,110,0.1
5,10000,1.6344,1.03622e+12,0.009185,110,0.2
3,10000,4.65021,8.00006e+11,0.0052331,110,0.333333
2,10000,4.75564,5.79937e+11,0.0033195,110,0.5
1,10000,10.245,0,0.0013699,110,1
10000,10000,0.00902623,2.04923e+14,22.3961,110,0.0001
7500,10000,0.572351,3.97517e+14,19.1418,110,0.000133333
5000,10000,0.935449,2.52602e+14,10.1342,110,0.0002
2500,10000,0.224878,1.28578e+14,4.96025,110,0.0004
1000,10000,1.88408,5.57661e+13,1.77923,110,0.001
500,10000,0.0439296,2.77161e+13,0.884658,110,0.002
250,10000,0.408707,1.40938e+13,0.445711,110,0.004
200,10000,1.46618,1.11148e+13,0.352781,110,0.005
150,10000,0.281979,9.00977e+12,0.246288,110,0.00666667
100,10000,0.732766,6.20599e+12,0.165267,110,0.01
50,10000,1.64783,3.71126e+12,0.0867658,110,0.02
