N,P,APE,kappa,runtime,K,dt
500,10000,4.9823,1.28658e+16,0.449001,90,0.000166667
1000,10000,10.0783,1.59179e+16,0.861184,90,8.33333e-05
5,10000,4.45119,4.24332e+15,0.0059975,90,0.0166667
10,10000,1.01365,1.77722e+15,0.0116877,90,0.00833333
50,10000,4.96638,1.82074e+16,0.0444106,90,0.00166667
100,10000,25.6256,2.00637e+16,0.0783205,90,0.000833333
500,10000,4.18673,2.60583e+16,0.437225,90,0.000166667
1000,10000,2.03059,3.00077e+16,0.89064,90,8.33333e-05
5,10000,17.7901,1.28907e+15,0.0050728,90,0.0166667
10,10000,15.699,1.62665e+15,0.0108345,90,0.00833333
50,10000,1.38979,1.79122e+16,0.0395293,90,0.00166667
100,10000,9.09485,4.6576e+16,0.077277,90,0.000833333
500,10000,4.45755,3.81995e+16,0.440195,90,0.000166667
1000,10000,6.75597,7.2051e+15,0.893874,90,8.33333e-05
5,10000,1.60916,1.02764e+16,0.006712,90,0.0166667
10,10000,1.55058,2.74209e+16,0.0109247,90,0.00833333
50,10000,5.10327,4.02933e+16,0.0452403,90,0.00166667
100,10000,0.881834,3.37088e+15,0.0763229,90,0.000833333
500,10000,7.26891,1.56147e+16,0.454655,90,0.000166667
1000,10000,5.73976,3.58607e+16,0.89082,90,8.33333e-05
5,10000,4.5187,6.03853e+15,0.0055246,90,0.0166667
10,10000,10.595,1.81826e+16,0.0131626,90,0.00833333
50,10000,4.94411,4.58172e+16,0.04662,90,0.00166667
100,10000,3.89544,9.52625e+15,0.0837249,90,0.000833333
500,10000,0.221913,5.40064e+16,0.466222,90,0.000166667
1000,10000,4.35108,3.22149e+16,0.875049,90,8.33333e-05
5,10000,19.7438,6.08108e+15,0.0051249,90,0.0166667
10,10000,11.8493,1.69149e+16,0.0095797,90,0.00833333
50,10000,11.6591,5.43492e+16,0.0425212,90,0.00166667
100,10000,5.8712,3.9878e+16,0.0817565,90,0.000833333
500,10000,0.235969,1.60082e+16,0.438422,90,0.000166667
1000,10000,2.23409,1.06386e+16,0.906535,90,8.33333e-05
5,10000,11.7968,5.84733e+15,0.0063686,90,0.0166667
10,10000,14.7313,1.01755e+17,0.0110834,90,0.00833333
50,10000,5.95789,9.50407e+16,0.0424568,90,0.00166667
100,10000,3.84205,5.42717e+16,0.0770229,90,0.000833333
500,10000,9.90832,1.88173e+16,0.446896,90,0.000166667
1000,10000,6.66833,3.40841e+16,0.897051,90,8.33333e-05
5,10000,6.28193,1.69615e+16,0.0086963,90,0.0166667
10,10000,11.5218,4.93947e+16,0.0107788,90,0.00833333
50,10000,4.5429,1.90765e+15,0.0429426,90,0.00166667
100,10000,0.427374,1.41519e+16,0.0837168,90,0.000833333
500,10000,2.25174,1.52521e+16,0.447487,90,0.000166667
1000,10000,6.84521,8.49549e+15,0.891,90,8.33333e-05
5,10000,18.6991,5.34347e+15,0.0057568,90,0.0166667
10,10000,1.29964,9.63003e+15,0.0087708,90,0.00833333
50,10000,5.08135,7.12575e+15,0.0377508,90,0.00166667
100,10000,12.1096,4.82083e+16,0.0786276,90,0.000833333
500,10000,1.36016,2.43904e+16,0.435559,90,0.000166667
1000,10000,6.48414,3.09853e+16,0.887633,90,8.33333e-05
5,10000,7.6976,1.73211e+15,0.0053236,90,0.0166667
10,10000,8.71911,1.94563e+15,0.0114653,90,0.00833333
50,10000,5.67776,1.02012e+17,0.0426022,90,0.00166667
100,10000,5.1345,2.79761e+16,0.0776097,90,0.000833333
500,10000,6.18924,4.51324e+16,0.446351,90,0.000166667
1000,10000,8.42789,6.95372e+15,0.902172,90,8.33333e-05
5,10000,0.617304,1.43916e+15,0.0068704,90,0.0166667
10,10000,0.867825,3.29932e+16,0.0092837,90,0.00833333
50,10000,9.36694,3.99853e+16,0.044851,90,0.00166667
100,10000,13.9468,1.58148e+16,0.077113,90,0.000833333
500,10000,4.58761,3.18942e+16,0.463517,90,0.000166667
1000,10000,4.24451,2.03743e+16,0.921957,90,8.33333e-05
5,10000,7.75667,2.48494e+15,0.0060947,90,0.0166667
10,10000,1.48751,4.37446e+16,0.0085436,90,0.00833333
50,10000,6.988,1.16993e+16,0.0392018,90,0.00166667
100,10000,5.75977,4.57783e+16,0.0751804,90,0.000833333
500,10000,2.53234,9.45472e+15,0.436466,90,0.000166667
1000,10000,4.7183,3.75943e+16,0.900311,90,8.33333e-05
5,10000,5.73337,1.55085e+16,0.0085907,90,0.0166667
10,10000,0.484397,7.90507e+16,0.0118415,90,0.00833333
50,10000,14.6461,8.4101e+15,0.042807,90,0.00166667
100,10000,24.9102,8.08236e+16,0.0797718,90,0.000833333
500,10000,16.2827,3.46233e+16,0.432611,90,0.000166667
1000,10000,9.35104,3.06094e+15,0.885155,90,8.33333e-05
5,10000,5.75507,2.37867e+15,0.0054499,90,0.0166667
10,10000,1.38526,3.70141e+15,0.0110689,90,0.00833333
50,10000,9.37836,9.47048e+16,0.0413276,90,0.00166667
100,10000,21.1096,1.44904e+16,0.0772838,90,0.000833333
500,10000,5.75966,7.29754e+15,0.452761,90,0.000166667
1000,10000,2.28994,2.19e+16,0.894139,90,8.33333e-05
5,10000,17.7264,4.3165e+15,0.0062356,90,0.0166667
10,10000,25.9922,1.9536e+17,0.0112655,90,0.00833333
50,10000,11.1936,4.99931e+16,0.0419814,90,0.00166667
100,10000,7.54884,1.56357e+16,0.078026,90,0.000833333
500,10000,3.97688,2.07975e+16,0.427354,90,0.000166667
1000,10000,6.28009,1.37535e+16,0.911152,90,8.33333e-05
5,10000,7.31014,5.51343e+15,0.005458,90,0.0166667
10,10000,6.93453,1.90804e+15,0.0095388,90,0.00833333
50,10000,3.69635,5.73086e+16,0.0422722,90,0.00166667
