P,N,S0,K,T,r,v,APE
10000,10,100.0,105.0,1.0,0.05,0.2,0.9027664470865551
10000,10,100.0,105.0,1.0,0.05,0.2,1.7051739644147106
10000,10,100.0,105.0,1.0,0.05,0.2,1.3348181235784944
10000,10,100.0,105.0,1.0,0.05,0.2,1.190801506093528
10000,10,100.0,105.0,1.0,0.05,0.2,0.5398768138012057
10000,10,100.0,105.0,1.0,0.05,0.2,1.393079217483158
10000,10,100.0,105.0,1.0,0.05,0.2,1.1823060627581692
10000,10,100.0,105.0,1.0,0.05,0.2,0.7407452584075752
10000,10,100.0,105.0,1.0,0.05,0.2,0.7794384586096443
10000,10,100.0,105.0,1.0,0.05,0.2,0.6489690935848508
10000,10,100.0,105.0,1.0,0.05,0.2,0.5785244695428784
10000,10,100.0,105.0,1.0,0.05,0.2,0.9762255716196324
10000,10,100.0,105.0,1.0,0.05,0.2,0.9122137196673211
10000,10,100.0,105.0,1.0,0.05,0.2,0.3960581632407369
10000,10,100.0,105.0,1.0,0.05,0.2,0.8567200807962783
10000,10,100.0,100.0,1.0,0.05,0.2,0.877745756367119
10000,10,100.0,100.0,1.0,0.05,0.2,0.6514123074329291
10000,10,100.0,100.0,1.0,0.05,0.2,1.4874753234694995
10000,10,100.0,100.0,1.0,0.05,0.2,1.001329647576685
10000,10,100.0,100.0,1.0,0.05,0.2,0.6891274540388289
10000,10,100.0,100.0,1.0,0.05,0.2,1.0702031222249453
10000,10,100.0,100.0,1.0,0.05,0.2,1.4203853765894743
10000,10,100.0,100.0,1.0,0.05,0.2,1.0508447010256503
10000,10,100.0,100.0,1.0,0.05,0.2,0.48411446802705077
10000,10,100.0,100.0,1.0,0.05,0.2,1.1664077260466401
10000,10,100.0,100.0,1.0,0.05,0.2,1.035809035821678
10000,10,100.0,100.0,1.0,0.05,0.2,1.5624566856124535
10000,10,100.0,100.0,1.0,0.05,0.2,1.7525842623398358
10000,10,100.0,100.0,1.0,0.05,0.2,0.8488036884835873
10000,10,100.0,100.0,1.0,0.05,0.2,1.0639723364734825
10000,10,100.0,100.0,1.0,0.05,0.2,2.1974532602069683
10000,10,100.0,100.0,1.0,0.05,0.2,0.8807788084075668
10000,10,100.0,100.0,1.0,0.05,0.2,1.7085965361835234
10000,10,100.0,100.0,1.0,0.05,0.2,0.34957392876281024
10000,10,100.0,100.0,1.0,0.05,0.2,0.7202396603549901
10000,10,100.0,100.0,1.0,0.05,0.2,2.0801278929143447
10000,10,100.0,100.0,1.0,0.05,0.2,1.440503345946632
10000,10,100.0,100.0,1.0,0.05,0.2,0.8024043162830643
10000,10,100.0,100.0,1.0,0.05,0.2,2.0912786461887993
10000,10,100.0,100.0,1.0,0.05,0.2,0.8702877198868465
10000,10,100.0,100.0,1.0,0.05,0.2,0.9639554424301842
10000,10,100.0,100.0,1.0,0.05,0.2,1.574534455603552
10000,10,100.0,100.0,1.0,0.05,0.2,1.608050387730197
10000,10,100.0,100.0,1.0,0.05,0.2,1.7156065420185969
10000,10,100.0,100.0,1.0,0.05,0.2,0.08933461508776136
10000,10,100.0,100.0,1.0,0.05,0.2,1.0830527288690261
10000,10,100.0,100.0,1.0,0.05,0.2,0.9095625875278313
10000,10,100.0,100.0,1.0,0.05,0.2,1.1907262761442277
10000,10,100.0,100.0,1.0,0.05,0.2,1.8135905323112684
10000,10,100.0,100.0,1.0,0.05,0.2,2.5889007701126556
10000,10,100.0,100.0,1.0,0.05,0.2,0.7019509035090117
10000,10,100.0,100.0,1.0,0.05,0.2,0.6265187349939244
10000,10,100.0,100.0,1.0,0.05,0.2,1.426306759214932
10000,10,100.0,100.0,1.0,0.05,0.2,0.926649533084002
10000,10,100.0,100.0,1.0,0.05,0.2,1.4597608947091627
10000,10,100.0,100.0,1.0,0.05,0.2,0.5502566552215992
10000,10,100.0,100.0,1.0,0.05,0.2,1.302111569849159
10000,10,100.0,100.0,1.0,0.05,0.2,1.065116114021044
10000,10,100.0,100.0,1.0,0.05,0.2,0.3517905368786645
10000,10,100.0,100.0,1.0,0.05,0.2,0.8447688885950436
10000,10,100.0,100.0,1.0,0.05,0.2,1.3870406448868702
10000,10,100.0,100.0,1.0,0.05,0.2,1.0501477934238101
10000,10,100.0,100.0,1.0,0.05,0.2,1.4308465728591377
10000,10,100.0,100.0,1.0,0.05,0.2,1.5522959421869038
10000,10,100.0,100.0,1.0,0.05,0.2,1.2609448415038516
10000,10,100.0,100.0,1.0,0.05,0.2,1.4160811065075765
10000,10,100.0,100.0,1.0,0.05,0.2,0.7744185166593204
10000,10,100.0,100.0,1.0,0.05,0.2,1.1004472213733196
10000,10,100.0,100.0,1.0,0.05,0.2,1.0599634130510818
10000,10,100.0,100.0,1.0,0.05,0.2,0.6497097827904785
10000,10,100.0,100.0,1.0,0.05,0.2,0.7447228633248765
10000,10,100.0,100.0,1.0,0.05,0.2,1.8415119829910773
10000,10,100.0,100.0,1.0,0.05,0.2,1.1534046056122027
10000,10,100.0,100.0,1.0,0.05,0.2,1.0467549837119985
10000,10,100.0,100.0,1.0,0.05,0.2,0.6179152955260477
10000,10,100.0,100.0,1.0,0.05,0.2,0.9999324803211713
10000,10,100.0,100.0,1.0,0.05,0.2,1.101252000831706
10000,10,100.0,100.0,1.0,0.05,0.2,1.6188687966280486
10000,10,100.0,100.0,1.0,0.05,0.2,0.9078855143632723
10000,10,100.0,100.0,1.0,0.05,0.2,0.793567962234858
10000,10,100.0,100.0,1.0,0.05,0.2,1.6032066072709854
10000,10,100.0,100.0,1.0,0.05,0.2,1.0804492966270693
10000,10,100.0,100.0,1.0,0.05,0.2,1.1611097262382604
10000,10,100.0,100.0,1.0,0.05,0.2,0.9472968382425131
10000,10,100.0,100.0,1.0,0.05,0.2,0.364554501496199
10000,10,100.0,100.0,1.0,0.05,0.2,1.2061097798668572
10000,10,100.0,100.0,1.0,0.05,0.2,0.666195216208435
10000,10,100.0,100.0,1.0,0.05,0.2,0.45524155352019735
10000,10,100.0,100.0,1.0,0.05,0.2,0.1369008616887549
10000,10,100.0,100.0,1.0,0.05,0.2,0.8988398521365352
10000,10,100.0,100.0,1.0,0.05,0.2,1.890203841171302
10000,10,100.0,100.0,1.0,0.05,0.2,1.2329285987317204
10000,10,100.0,100.0,1.0,0.05,0.2,1.1137001414881014
10000,10,100.0,100.0,1.0,0.05,0.2,1.678193068584482
10000,10,100.0,100.0,1.0,0.05,0.2,1.7828309081510527
10000,10,100.0,100.0,1.0,0.05,0.2,2.3895534126848204
10000,10,100.0,100.0,1.0,0.05,0.2,2.2412342687887365
