P,N,S0,K,T,r,v,APE
10000,10,100.0,102.5,1.0,0.05,0.2,1.8587147776757877
10000,10,100.0,102.5,1.0,0.05,0.2,1.3289613290127404
10000,10,100.0,102.5,1.0,0.05,0.2,1.5150716332619167
10000,10,100.0,102.5,1.0,0.05,0.2,1.0394782384721972
10000,10,100.0,102.5,1.0,0.05,0.2,0.6649128212318774
10000,10,100.0,102.5,1.0,0.05,0.2,0.6361012376400003
10000,10,100.0,102.5,1.0,0.05,0.2,0.186066459708841
10000,10,100.0,102.5,1.0,0.05,0.2,0.8283369670150666
10000,10,100.0,102.5,1.0,0.05,0.2,1.215048924422912
10000,10,100.0,102.5,1.0,0.05,0.2,0.8795342813684772
10000,10,100.0,102.5,1.0,0.05,0.2,0.23397253903077914
10000,10,100.0,102.5,1.0,0.05,0.2,0.6714765054737107
10000,10,100.0,97.5,1.0,0.05,0.2,1.9902793380319022
10000,10,100.0,97.5,1.0,0.05,0.2,0.37284237079413857
10000,10,100.0,97.5,1.0,0.05,0.2,1.4582513109690647
10000,10,100.0,97.5,1.0,0.05,0.2,1.073376351198958
10000,10,100.0,97.5,1.0,0.05,0.2,0.3915168272707569
10000,10,100.0,97.5,1.0,0.05,0.2,1.3054001034213494
10000,10,100.0,97.5,1.0,0.05,0.2,1.2980546897500642
10000,10,100.0,97.5,1.0,0.05,0.2,1.1777810031914235
10000,10,100.0,97.5,1.0,0.05,0.2,0.68620477899136
