S0,K,T,r,v,price
100,100,7.0,0.05,0.2,10.588274031486579
100,95,7.0,0.05,0.2,8.514437207791454
100,110,10.0,0.05,0.2,16.229391083091848
100,105,10.0,0.05,0.2,13.560036134477281
100,100,10.0,0.05,0.2,11.205875448553165
100,95,10.0,0.05,0.2,9.146406305990139
100,110,15.0,0.05,0.2,16.68268685091402
100,105,15.0,0.05,0.2,14.054949786811038
100,100,15.0,0.05,0.2,11.729209905560866
100,95,15.0,0.05,0.2,9.68494538763369
100,110,20.0,0.05,0.2,16.899456226312044
100,105,20.0,0.05,0.2,14.291857448541272
100,100,20.0,0.05,0.2,11.980510890167846
100,95,20.0,0.05,0.2,9.944987230225605
100,110,30.0,0.05,0.2,17.074334439933214
100,105,30.0,0.05,0.2,14.484066135747995
100,100,30.0,0.05,0.2,12.185927054521425
100,95,30.0,0.05,0.2,10.158787562259404
100,110,40,0.05,0.2,17.128511408080467
100,105,40,0.05,0.2,14.544723690540994
100,100,40,0.05,0.2,12.25177357577698
100,95,40,0.05,0.2,10.22892452615295
100,110,50,0.05,0.2,17.14443327814579
100,105,50,0.05,0.2,14.564216954538386
100,100,50,0.05,0.2,12.273529287580205
100,95,50,0.05,0.2,10.252098449444013
100,110,70,0.05,0.2,17.1426268411664
100,105,70,0.05,0.2,14.56624531322521
100,100,70,0.05,0.2,12.278852721357428
100,95,70,0.05,0.2,10.260150486224578
100,110,90,0.05,0.2,17.131035408089254
100,105,90,0.05,0.2,14.556469908181764
100,100,90,0.05,0.2,12.270589465694352
100,95,90,0.05,0.2,10.253409053764777
100,110,100,0.05,0.2,17.123803761930112
100,105,100,0.05,0.2,14.550915761747127
100,100,100,0.05,0.2,12.265987114194656
100,95,100,0.05,0.2,10.2493844301941
100,110,0.015,0.05,0.2,9.999999999999952
100,105,0.015,0.05,0.2,4.999999732905639
100,100,0.015,0.05,0.2,0.9036732103971431
100,95,0.015,0.05,0.2,0.010532704539352176
100,110,0.02,0.05,0.2,9.99999999999995
100,105,0.02,0.05,0.2,5.0074180158708295
100,100,0.02,0.05,0.2,1.0629497846333935
100,95,0.02,0.05,0.2,0.030965604107697667
100,110,0.0125,0.05,0.2,9.999999999999964
100,105,0.0125,0.05,0.2,4.999999999999961
100,100,0.0125,0.05,0.2,0.8110304997990164
100,95,0.0125,0.05,0.2,0.004409336995029679
100,110,0.01725,0.05,0.2,9.99999999999996
100,105,0.01725,0.05,0.2,5.001978616628434
100,100,0.01725,0.05,0.2,0.9868836728820026
100,95,0.01725,0.05,0.2,0.019485104210909925
100,110,0.0225,0.05,0.2,9.999999999999961
100,105,0.0225,0.05,0.2,5.015731895220335
100,100,0.0225,0.05,0.2,1.1333618981948035
100,95,0.0225,0.05,0.2,0.044593619457665
100,110,110.0,0.05,0.2,17.114515732743868
100,105,110.0,0.05,0.2,14.544711180597945
100,100,110.0,0.05,0.2,12.26154630803796
100,95,110.0,0.05,0.2,10.245904787126923
100,110,120.0,0.05,0.2,17.1090468598584
100,105,120.0,0.05,0.2,14.536038810371686
100,100,120.0,0.05,0.2,12.256080383636881
100,95,120.0,0.05,0.2,10.242274409858176
100,110,130.0,0.05,0.2,17.101893887853446
100,105,130.0,0.05,0.2,14.532440961252766
100,100,130.0,0.05,0.2,12.249016167394338
100,95,130.0,0.05,0.2,10.237190139783774
100,110,150,0.05,0.2,17.08760749821009
100,105,150,0.05,0.2,14.51949483545059
100,100,150,0.05,0.2,12.23868900158431
100,95,150,0.05,0.2,10.22924003217074
100,110,170,0.05,0.2,17.072664790960495
100,105,170,0.05,0.2,14.507168444770029
100,100,170,0.05,0.2,12.228349340072722
100,95,170,0.05,0.2,10.220650784561986
100,110,0.01125,0.05,0.2,9.999999999999964
100,105,0.01125,0.05,0.2,4.999999999999961
100,100,0.01125,0.05,0.2,0.8110304997990164
100,95,0.01125,0.05,0.2,0.004409336995029679


