N,P,APE,kappa,runtime,K,dt,runFile
1,10000,5.35899,0.0,0.0010405,80.0,1.0,0
2,10000,5.24365,2441120000000.0,0.0016814,80.0,0.5,0
3,10000,2.71487,5737770000000.0,0.0024593,80.0,0.333333,0
4,10000,5.55139,5576320000000.0,0.002934,80.0,0.25,0
6,10000,1.73696,198355000000000.0,0.0045326,80.0,0.166667,0
7,10000,2.60116,710924000000000.0,0.0053278,80.0,0.142857,0
8,10000,1.85103,846034000000000.0,0.0058137,80.0,0.125,0
9,10000,0.175737,5694660000000.0,0.0064041,80.0,0.111111,0
30,10000,6.07164,303513000000000.0,0.0205681,80.0,0.0333333,0
50,10000,2.70149,3205970000000000.0,0.0345089,80.0,0.02,0
70,10000,0.191974,2027760000000000.0,0.0432812,80.0,0.0142857,0
600,10000,1.62294,693659000000000.0,0.320389,80.0,0.00166667,0
800,10000,1.46282,1700490000000000.0,0.440567,80.0,0.00125,0
1200,10000,0.132281,2691640000000000.0,0.698319,80.0,0.000833333,0
200,10000,0.645201,7280760000000000.0,0.101096,80.0,0.005,0
7000,10000,1.1586,6040790000000000.0,4.04672,80.0,0.000142857,0
5,10000,5.1432,13844100000000.0,0.0038409,80.0,0.2,0
10,10000,1.33222,8085890000000.0,0.0067844,80.0,0.1,0
100,10000,2.34405,1.87838e+16,0.0678431,80.0,0.01,0
125,10000,3.37689,281508000000000.0,0.0891855,80.0,0.008,0
400,10000,4.35462,558042000000000.0,0.221126,80.0,0.0025,0
500,10000,1.53809,3701040000000000.0,0.282775,80.0,0.002,0
1000,10000,2.15588,2453160000000000.0,0.599648,80.0,0.001,0
5000,10000,0.931997,2690800000000000.0,2.90231,80.0,0.0002,0
1,10000,0.910838,0.0,0.0010285,80.0,1.0,0
2,10000,5.43289,2446730000000.0,0.0016983,80.0,0.5,0
3,10000,7.29354,3746090000000.0,0.0023834,80.0,0.333333,0
4,10000,4.90635,12606500000000.0,0.0030849,80.0,0.25,0
6,10000,6.62273,20050000000000.0,0.0044282,80.0,0.166667,0
7,10000,2.50286,401923000000000.0,0.0052195,80.0,0.142857,0
8,10000,6.57758,76450800000000.0,0.0061513,80.0,0.125,0
9,10000,0.336044,1.13186e+16,0.0064737,80.0,0.111111,0
30,10000,3.5992,48671900000000.0,0.0204548,80.0,0.0333333,0
50,10000,1.58936,54756000000000.0,0.0301173,80.0,0.02,0
70,10000,0.526964,2285680000000000.0,0.039111,80.0,0.0142857,0
600,10000,0.245249,450435000000000.0,0.319795,80.0,0.00166667,0
800,10000,1.49987,6472220000000000.0,0.445505,80.0,0.00125,0
1200,10000,3.94687,1873800000000000.0,0.690676,80.0,0.000833333,0
200,10000,3.55732,116383000000000.0,0.108759,80.0,0.005,0
7000,10000,4.58569,2959020000000000.0,4.02862,80.0,0.000142857,0
5,10000,3.37261,3860940000000.0,0.0037883,80.0,0.2,0
10,10000,1.21081,637432000000000.0,0.0069086,80.0,0.1,0
100,10000,2.99097,218202000000000.0,0.0676464,80.0,0.01,0
125,10000,1.05982,319220000000000.0,0.0788945,80.0,0.008,0
400,10000,4.22136,126060000000000.0,0.231446,80.0,0.0025,0
500,10000,1.28445,644776000000000.0,0.277598,80.0,0.002,0
1000,10000,1.90533,2330180000000000.0,0.55552,80.0,0.001,0
5000,10000,0.978757,4908700000000000.0,2.93055,80.0,0.0002,0
1,10000,2.75482,0.0,0.0010018,80.0,1.0,0
2,10000,1.75161,2056060000000.0,0.0016863,80.0,0.5,0
3,10000,0.292225,4308830000000.0,0.002352,80.0,0.333333,0
4,10000,3.57949,11020600000000.0,0.0028557,80.0,0.25,0
6,10000,1.17576,33972800000000.0,0.0043615,80.0,0.166667,0
7,10000,0.179072,1516680000000000.0,0.0051156,80.0,0.142857,0
8,10000,1.96243,30680800000000.0,0.0056199,80.0,0.125,0
9,10000,0.474921,4542070000000.0,0.0062373,80.0,0.111111,0
30,10000,0.00565161,15249800000000.0,0.0202752,80.0,0.0333333,0
50,10000,1.05398,524597000000000.0,0.0348196,80.0,0.02,0
70,10000,1.13021,643226000000000.0,0.0392936,80.0,0.0142857,0
600,10000,1.91482,68842300000000.0,0.323055,80.0,0.00166667,0
800,10000,3.52953,182948000000000.0,0.445001,80.0,0.00125,0
1200,10000,2.28205,3103890000000000.0,0.727584,80.0,0.000833333,0
200,10000,6.24471,1102800000000000.0,0.105938,80.0,0.005,0
7000,10000,2.78282,389448000000000.0,4.11101,80.0,0.000142857,0
5,10000,2.14259,8124350000000.0,0.0039672,80.0,0.2,0
10,10000,0.650877,2501700000000000.0,0.0068922,80.0,0.1,0
100,10000,3.88906,492531000000000.0,0.0680665,80.0,0.01,0
125,10000,5.88616,610957000000000.0,0.0903717,80.0,0.008,0
400,10000,2.57011,385866000000000.0,0.233043,80.0,0.0025,0
500,10000,5.67371,4267130000000000.0,0.290886,80.0,0.002,0
1000,10000,5.50518,3218470000000000.0,0.547503,80.0,0.001,0
5000,10000,5.83847,3368600000000000.0,2.9257,80.0,0.0002,0
1,10000,3.74304,0.0,0.0010324,80.0,1.0,0
2,10000,0.557311,3249370000000.0,0.0016696,80.0,0.5,0
3,10000,0.294153,9749670000000.0,0.002388,80.0,0.333333,0
4,10000,0.880335,11400100000000.0,0.0029205,80.0,0.25,0
6,10000,0.234653,58101300000000.0,0.0042239,80.0,0.166667,0
7,10000,0.298703,366414000000000.0,0.0050336,80.0,0.142857,0
8,10000,0.696886,1160200000000000.0,0.0058905,80.0,0.125,0
9,10000,2.91849,2702220000000.0,0.0062596,80.0,0.111111,0
30,10000,4.46839,99898600000000.0,0.0207122,80.0,0.0333333,0
50,10000,4.24786,286888000000000.0,0.0343362,80.0,0.02,0
70,10000,0.373408,2434130000000000.0,0.0530263,80.0,0.0142857,0
600,10000,4.93762,4701900000000000.0,0.31818,80.0,0.00166667,0
800,10000,2.16809,5928210000000000.0,0.441794,80.0,0.00125,0
1200,10000,4.90333,758862000000000.0,0.695866,80.0,0.000833333,0
200,10000,4.10099,227478000000000.0,0.137457,80.0,0.005,0
7000,10000,6.31548,856373000000000.0,4.17217,80.0,0.000142857,0
5,10000,5.30192,14605200000000.0,0.0053658,80.0,0.2,0
10,10000,2.2669,6828350000000.0,0.0082687,80.0,0.1,0
100,10000,3.70435,44851400000000.0,0.0752892,80.0,0.01,0
125,10000,6.76741,495064000000000.0,0.0931847,80.0,0.008,0
400,10000,3.45624,3455260000000000.0,0.221391,80.0,0.0025,0
500,10000,0.714995,1658500000000000.0,0.311513,80.0,0.002,0
1000,10000,0.322208,153979000000000.0,0.57715,80.0,0.001,0
5000,10000,0.247095,332402000000000.0,3.01938,80.0,0.0002,0
1,10000,0.129528,0.0,0.0009915,80.0,1.0,0
2,10000,1.87939,1804090000000.0,0.0016488,80.0,0.5,0
3,10000,0.701643,5479850000000.0,0.0023258,80.0,0.333333,0
4,10000,4.38835,7254720000000.0,0.0028359,80.0,0.25,0
6,10000,4.94784,53557900000000.0,0.0043992,80.0,0.166667,0
7,10000,2.68983,132521000000000.0,0.0051732,80.0,0.142857,0
8,10000,0.887393,1550220000000000.0,0.0056761,80.0,0.125,0
9,10000,1.15562,7326800000000000.0,0.0065883,80.0,0.111111,0
30,10000,4.34498,6239850000000000.0,0.0206557,80.0,0.0333333,0
50,10000,1.09955,18148600000000.0,0.0328367,80.0,0.02,0
70,10000,4.06414,138128000000000.0,0.0414084,80.0,0.0142857,0
600,10000,2.84093,977652000000000.0,0.335082,80.0,0.00166667,0
800,10000,5.16726,2750100000000000.0,0.451075,80.0,0.00125,0
1200,10000,0.792399,395303000000000.0,0.678364,80.0,0.000833333,0
200,10000,5.06414,2519540000000000.0,0.113561,80.0,0.005,0
7000,10000,0.823203,4456700000000000.0,4.07352,80.0,0.000142857,0
5,10000,5.17266,7486710000000.0,0.0038248,80.0,0.2,0
10,10000,6.05228,5364710000000.0,0.0068373,80.0,0.1,0
100,10000,7.67554,8124230000000000.0,0.0678011,80.0,0.01,0
125,10000,5.54134,8230790000000000.0,0.0817803,80.0,0.008,0
400,10000,2.49376,1091690000000000.0,0.209686,80.0,0.0025,0
500,10000,1.63882,4108920000000000.0,0.291276,80.0,0.002,0
1000,10000,4.37733,2939390000000000.0,0.574785,80.0,0.001,0
5000,10000,0.221894,3579180000000000.0,2.91006,80.0,0.0002,0
1,10000,0.394595,0.0,0.0010162,80.0,1.0,0
2,10000,4.65341,1892730000000.0,0.001747,80.0,0.5,0
3,10000,7.15017,7591900000000.0,0.0024092,80.0,0.333333,0
4,10000,6.81918,8667580000000.0,0.0030113,80.0,0.25,0
6,10000,1.79679,54538100000000.0,0.0041937,80.0,0.166667,0
7,10000,7.15351,256462000000000.0,0.0050631,80.0,0.142857,0
8,10000,6.64594,464801000000000.0,0.0056458,80.0,0.125,0
9,10000,6.64967,8319020000000.0,0.0062092,80.0,0.111111,0
30,10000,4.84123,258837000000000.0,0.0204339,80.0,0.0333333,0
50,10000,1.71253,462094000000000.0,0.0348713,80.0,0.02,0
70,10000,1.83634,112370000000000.0,0.0433797,80.0,0.0142857,0
600,10000,2.1728,2798890000000000.0,0.312122,80.0,0.00166667,0
800,10000,1.64709,7173500000000000.0,0.467486,80.0,0.00125,0
1200,10000,0.742618,65867100000000.0,0.710535,80.0,0.000833333,0
200,10000,1.12272,2530090000000000.0,0.106438,80.0,0.005,0
7000,10000,6.73236,2537950000000000.0,4.10874,80.0,0.000142857,0
5,10000,2.36906,10898100000000.0,0.0036549,80.0,0.2,0
10,10000,1.93469,6476930000000.0,0.007159,80.0,0.1,0
100,10000,1.87468,24184400000000.0,0.0676132,80.0,0.01,0
125,10000,5.25208,600719000000000.0,0.096539,80.0,0.008,0
400,10000,0.723784,479239000000000.0,0.220615,80.0,0.0025,0
500,10000,2.26353,733860000000000.0,0.261752,80.0,0.002,0
1000,10000,1.28735,347367000000000.0,0.541082,80.0,0.001,0
5000,10000,4.0243,2823930000000000.0,2.98797,80.0,0.0002,0
1,10000,3.0162,0.0,0.0010475,80.0,1.0,0
2,10000,0.0348755,1553530000000.0,0.0017648,80.0,0.5,0
3,10000,1.01423,3415200000000.0,0.0023541,80.0,0.333333,0
4,10000,1.16789,3975320000000.0,0.0029034,80.0,0.25,0
6,10000,1.62156,12954200000000.0,0.004394,80.0,0.166667,0
7,10000,2.16147,180510000000000.0,0.0050308,80.0,0.142857,0
8,10000,1.89509,56734000000000.0,0.0056063,80.0,0.125,0
9,10000,0.493445,3933180000000000.0,0.0063188,80.0,0.111111,0
30,10000,0.182047,35018400000000.0,0.0203762,80.0,0.0333333,0
50,10000,0.743182,1.00703e+16,0.0347334,80.0,0.02,0
70,10000,0.30405,9821380000000000.0,0.0446143,80.0,0.0142857,0
600,10000,2.28724,5940550000000000.0,0.314414,80.0,0.00166667,0
800,10000,1.96623,29168400000000.0,0.472275,80.0,0.00125,0
1200,10000,0.870408,266902000000000.0,0.684322,80.0,0.000833333,0
200,10000,1.54449,294833000000000.0,0.108122,80.0,0.005,0
7000,10000,3.60353,321939000000000.0,4.16892,80.0,0.000142857,0
5,10000,2.89832,8866940000000.0,0.0037587,80.0,0.2,0
10,10000,3.98644,6580200000000.0,0.0070006,80.0,0.1,0
100,10000,1.70037,355726000000000.0,0.080458,80.0,0.01,0
125,10000,0.511031,254154000000000.0,0.0902139,80.0,0.008,0
400,10000,7.47599,4668700000000000.0,0.220825,80.0,0.0025,0
500,10000,0.711339,1343790000000000.0,0.274164,80.0,0.002,0
1000,10000,0.344056,37974600000000.0,0.589098,80.0,0.001,0
5000,10000,5.45499,1427960000000000.0,2.91944,80.0,0.0002,0
1,10000,0.820846,0.0,0.0009957,80.0,1.0,0
2,10000,3.77664,4593900000000.0,0.0016455,80.0,0.5,0
3,10000,1.26759,3395720000000.0,0.0022977,80.0,0.333333,0
4,10000,3.76575,28578500000000.0,0.0030417,80.0,0.25,0
6,10000,1.73797,17875700000000.0,0.0043611,80.0,0.166667,0
7,10000,1.1463,61471700000000.0,0.0051736,80.0,0.142857,0
8,10000,2.66926,872231000000000.0,0.0058215,80.0,0.125,0
9,10000,6.57945,440186000000000.0,0.006538,80.0,0.111111,0
30,10000,0.556396,8207450000000.0,0.0209394,80.0,0.0333333,0
50,10000,2.81399,5228150000000000.0,0.0356261,80.0,0.02,0
70,10000,5.63286,8724270000000.0,0.0443342,80.0,0.0142857,0
600,10000,0.0824531,177850000000000.0,0.323535,80.0,0.00166667,0
800,10000,1.81056,1699100000000000.0,0.468499,80.0,0.00125,0
1200,10000,2.75667,69330100000000.0,0.689533,80.0,0.000833333,0
200,10000,7.20214,128699000000000.0,0.114661,80.0,0.005,0
7000,10000,2.06032,1365790000000000.0,4.1323,80.0,0.000142857,0
5,10000,8.15484,26591600000000.0,0.0037136,80.0,0.2,0
10,10000,10.5693,6745220000000.0,0.0070557,80.0,0.1,0
100,10000,1.09916,301542000000000.0,0.0672336,80.0,0.01,0
125,10000,2.26522,655823000000000.0,0.0900987,80.0,0.008,0
400,10000,7.77286,151545000000000.0,0.216317,80.0,0.0025,0
500,10000,4.63695,4590160000000000.0,0.274239,80.0,0.002,0
1000,10000,7.45702,86601500000000.0,0.533998,80.0,0.001,0
5000,10000,0.316989,810208000000000.0,2.92119,80.0,0.0002,0
1,10000,9.81917,0.0,0.0010292,80.0,1.0,0
2,10000,12.8422,3821260000000.0,0.0017228,80.0,0.5,0
3,10000,12.9927,4156310000000.0,0.0024608,80.0,0.333333,0
4,10000,14.56,14034500000000.0,0.0029301,80.0,0.25,0
6,10000,13.2681,76239600000000.0,0.0044016,80.0,0.166667,0
7,10000,11.5655,8650130000000.0,0.0049297,80.0,0.142857,0
8,10000,10.1799,716864000000000.0,0.0055621,80.0,0.125,0
9,10000,8.38143,9.5177e+16,0.0065973,80.0,0.111111,0
30,10000,9.26941,47460900000000.0,0.0200491,80.0,0.0333333,0
50,10000,5.14011,299019000000000.0,0.0341797,80.0,0.02,0
70,10000,4.8586,18952700000000.0,0.0387636,80.0,0.0142857,0
600,10000,1.19592,1188600000000000.0,0.3205,80.0,0.00166667,0
800,10000,2.90695,5928900000000000.0,0.445872,80.0,0.00125,0
1200,10000,3.86464,1703880000000000.0,0.719418,80.0,0.000833333,0
200,10000,0.94149,92260300000000.0,0.113636,80.0,0.005,0
7000,10000,1.08279,1337870000000000.0,4.14131,80.0,0.000142857,0
5,10000,6.16411,5369740000000.0,0.0037605,80.0,0.2,0
10,10000,6.3107,19687300000000.0,0.0071025,80.0,0.1,0
100,10000,2.37836,223532000000000.0,0.0688153,80.0,0.01,0
125,10000,0.751993,58697000000000.0,0.0994718,80.0,0.008,0
400,10000,2.14607,3784600000000000.0,0.2221,80.0,0.0025,0
500,10000,3.42229,555128000000000.0,0.271004,80.0,0.002,0
1000,10000,4.53471,9001460000000000.0,0.547027,80.0,0.001,0
5000,10000,0.568529,3570290000000000.0,2.92906,80.0,0.0002,0
1,10000,1.76413,0.0,0.0010326,80.0,1.0,0
2,10000,6.39522,1268280000000.0,0.0017186,80.0,0.5,0
3,10000,6.15965,2712710000000.0,0.0023336,80.0,0.333333,0
4,10000,8.51469,11783700000000.0,0.0028868,80.0,0.25,0
6,10000,7.65498,12049100000000.0,0.0041853,80.0,0.166667,0
7,10000,4.13723,106250000000000.0,0.0049596,80.0,0.142857,0
8,10000,4.35843,87595000000000.0,0.0056053,80.0,0.125,0
9,10000,0.892099,277817000000000.0,0.0065149,80.0,0.111111,0
30,10000,3.25367,30684000000000.0,0.0204748,80.0,0.0333333,0
50,10000,3.93199,111424000000000.0,0.0292214,80.0,0.02,0
70,10000,0.0038166,170165000000000.0,0.0429026,80.0,0.0142857,0
600,10000,5.10242,91254200000000.0,0.326765,80.0,0.00166667,0
800,10000,0.165075,1667570000000000.0,0.442278,80.0,0.00125,0
1200,10000,0.455204,294589000000000.0,0.729949,80.0,0.000833333,0
200,10000,3.97802,338602000000000.0,0.103275,80.0,0.005,0
7000,10000,3.89034,2523380000000000.0,4.09839,80.0,0.000142857,0
5,10000,6.89289,14583100000000.0,0.003523,80.0,0.2,0
10,10000,5.44326,22360400000000.0,0.0071042,80.0,0.1,0
100,10000,2.38995,869180000000000.0,0.0681012,80.0,0.01,0
125,10000,3.99152,98201000000000.0,0.0889202,80.0,0.008,0
400,10000,2.14392,2332580000000000.0,0.237151,80.0,0.0025,0
500,10000,1.20162,1439960000000000.0,0.2809,80.0,0.002,0
1000,10000,1.91128,1965460000000000.0,0.569601,80.0,0.001,0
5000,10000,0.195497,761721000000000.0,2.96521,80.0,0.0002,0
1,10000,5.65207,0.0,0.0010546,80.0,1.0,0
2,10000,2.64813,2395510000000.0,0.0016864,80.0,0.5,0
3,10000,5.30725,5064620000000.0,0.0024034,80.0,0.333333,0
4,10000,4.12943,12954600000000.0,0.0029648,80.0,0.25,0
6,10000,4.65503,174636000000000.0,0.004393,80.0,0.166667,0
7,10000,3.69704,52382200000000.0,0.0051012,80.0,0.142857,0
8,10000,8.10202,488000000000000.0,0.0058352,80.0,0.125,0
9,10000,5.28525,1465260000000000.0,0.0062859,80.0,0.111111,0
30,10000,3.16835,93809100000000.0,0.020411,80.0,0.0333333,0
50,10000,0.5707,362950000000000.0,0.0342964,80.0,0.02,0
70,10000,4.13192,620727000000000.0,0.0549647,80.0,0.0142857,0
600,10000,2.29185,2074870000000000.0,0.324922,80.0,0.00166667,0
800,10000,1.95516,327942000000000.0,0.436635,80.0,0.00125,0
1200,10000,5.91273,2267990000000000.0,0.723117,80.0,0.000833333,0
200,10000,3.58676,255296000000000.0,0.106543,80.0,0.005,0
7000,10000,6.70395,3053220000000000.0,4.2302,80.0,0.000142857,0
5,10000,5.17435,10279900000000.0,0.0036604,80.0,0.2,0
10,10000,1.04611,8630570000000000.0,0.0069276,80.0,0.1,0
100,10000,0.809112,44999600000000.0,0.069255,80.0,0.01,0
125,10000,3.81397,135117000000000.0,0.0921588,80.0,0.008,0
400,10000,0.508221,76931300000000.0,0.217046,80.0,0.0025,0
500,10000,1.26152,504783000000000.0,0.287253,80.0,0.002,0
1000,10000,0.926519,2956510000000000.0,0.564949,80.0,0.001,0
5000,10000,3.42467,3510820000000000.0,2.97487,80.0,0.0002,0
1,10000,5.0296,0.0,0.0010177,80.0,1.0,0
2,10000,4.45471,2675360000000.0,0.0017297,80.0,0.5,0
3,10000,3.98886,6600370000000.0,0.00238,80.0,0.333333,0
4,10000,1.51946,11613500000000.0,0.0029828,80.0,0.25,0
6,10000,3.96802,40209600000000.0,0.0042249,80.0,0.166667,0
7,10000,2.21499,208574000000000.0,0.0050619,80.0,0.142857,0
8,10000,2.44355,167053000000000.0,0.0058438,80.0,0.125,0
9,10000,4.58023,7479120000000000.0,0.0063402,80.0,0.111111,0
30,10000,0.655987,3.03232e+16,0.0203314,80.0,0.0333333,0
50,10000,1.41712,32856700000000.0,0.0343054,80.0,0.02,0
70,10000,2.69366,64191500000000.0,0.0442692,80.0,0.0142857,0
600,10000,0.670737,451568000000000.0,0.325758,80.0,0.00166667,0
800,10000,2.87143,2165410000000000.0,0.43822,80.0,0.00125,0
1200,10000,0.321753,2957540000000000.0,0.714622,80.0,0.000833333,0
200,10000,2.04973,539425000000000.0,0.102791,80.0,0.005,0
7000,10000,6.28729,1777120000000000.0,4.18739,80.0,0.000142857,0
5,10000,0.152531,9130900000000.0,0.0035698,80.0,0.2,0
10,10000,1.49457,7940180000000000.0,0.0070841,80.0,0.1,0
100,10000,12.4726,167042000000000.0,0.0696845,80.0,0.01,0
125,10000,10.3292,37351800000000.0,0.0904051,80.0,0.008,0
400,10000,4.69632,32250600000000.0,0.244266,80.0,0.0025,0
500,10000,9.3285,1043840000000000.0,0.285806,80.0,0.002,0
1000,10000,6.64989,1368560000000000.0,0.603983,80.0,0.001,0
5000,10000,0.171561,5455620000000000.0,2.92,80.0,0.0002,0
1,10000,5.88046,0.0,0.0009257,80.0,1.0,0
2,10000,0.668262,2500800000000.0,0.0016345,80.0,0.5,0
3,10000,4.23831,6703160000000.0,0.0023852,80.0,0.333333,0
4,10000,5.82117,6737980000000.0,0.0029331,80.0,0.25,0
6,10000,1.8842,101634000000000.0,0.0042925,80.0,0.166667,0
7,10000,1.1167,39132300000000.0,0.0050238,80.0,0.142857,0
8,10000,1.24436,1879250000000000.0,0.0056527,80.0,0.125,0
9,10000,0.838861,6576280000000.0,0.0065387,80.0,0.111111,0
30,10000,2.57971,131459000000000.0,0.0205011,80.0,0.0333333,0
50,10000,6.39765,217757000000000.0,0.0353439,80.0,0.02,0
70,10000,5.23037,210153000000000.0,0.0428352,80.0,0.0142857,0
600,10000,5.18763,5466180000000000.0,0.325583,80.0,0.00166667,0
800,10000,7.02628,136303000000000.0,0.456574,80.0,0.00125,0
1200,10000,8.17015,731923000000000.0,0.704377,80.0,0.000833333,0
200,10000,4.5109,151394000000000.0,0.107326,80.0,0.005,0
7000,10000,3.53417,350973000000000.0,4.05742,80.0,0.000142857,0
5,10000,9.48516,14414100000000.0,0.0036219,80.0,0.2,0
10,10000,5.68895,10559200000000.0,0.0071153,80.0,0.1,0
100,10000,1.46353,396551000000000.0,0.0717526,80.0,0.01,0
125,10000,2.50041,350205000000000.0,0.0956837,80.0,0.008,0
400,10000,2.84636,906315000000000.0,0.217582,80.0,0.0025,0
500,10000,1.45601,161592000000000.0,0.273041,80.0,0.002,0
1000,10000,2.05114,3519160000000000.0,0.572312,80.0,0.001,0
5000,10000,0.844186,1109690000000000.0,2.87072,80.0,0.0002,0
1,10000,6.71559,0.0,0.0010401,80.0,1.0,0
2,10000,6.77229,3606520000000.0,0.0017803,80.0,0.5,0
3,10000,9.66019,5154010000000.0,0.0024427,80.0,0.333333,0
4,10000,5.58233,16566600000000.0,0.0031429,80.0,0.25,0
6,10000,6.21509,45029400000000.0,0.004174,80.0,0.166667,0
7,10000,4.39184,164257000000000.0,0.0049119,80.0,0.142857,0
8,10000,0.990131,1623490000000000.0,0.0056324,80.0,0.125,0
9,10000,4.75023,34230300000000.0,0.0062951,80.0,0.111111,0
30,10000,0.15791,93247800000000.0,0.0205572,80.0,0.0333333,0
50,10000,1.96087,34329600000000.0,0.0349283,80.0,0.02,0
70,10000,2.94656,329636000000000.0,0.0397098,80.0,0.0142857,0
600,10000,0.119804,4584860000000000.0,0.342154,80.0,0.00166667,0
800,10000,0.776089,417757000000000.0,0.43568,80.0,0.00125,0
1200,10000,3.60803,1087500000000000.0,0.744438,80.0,0.000833333,0
200,10000,2.6596,1.98649e+16,0.100506,80.0,0.005,0
7000,10000,2.20559,2018220000000000.0,4.07192,80.0,0.000142857,0
5,10000,2.52914,27342300000000.0,0.0036169,80.0,0.2,0
10,10000,0.304584,36261900000000.0,0.0068865,80.0,0.1,0
100,10000,2.73754,178203000000000.0,0.0678137,80.0,0.01,0
125,10000,0.196615,29961400000000.0,0.0885766,80.0,0.008,0
400,10000,4.2758,1.3885e+16,0.266555,80.0,0.0025,0
500,10000,3.83915,49925500000000.0,0.283288,80.0,0.002,0
1000,10000,1.34123,212402000000000.0,0.563132,80.0,0.001,0
5000,10000,2.5857,808558000000000.0,2.90525,80.0,0.0002,0
1,10000,1.17755,0.0,0.0010293,80.0,1.0,0
2,10000,3.62348,2350080000000.0,0.0017161,80.0,0.5,0
3,10000,1.54179,3135370000000.0,0.0023679,80.0,0.333333,0
4,10000,2.19336,4858090000000.0,0.002855,80.0,0.25,0
6,10000,3.28325,64136800000000.0,0.004147,80.0,0.166667,0
7,10000,0.262202,198605000000000.0,0.0049743,80.0,0.142857,0
8,10000,2.06054,1.07186e+16,0.0057929,80.0,0.125,0
9,10000,0.0625267,4473720000000000.0,0.0065253,80.0,0.111111,0
30,10000,5.28368,15735100000000.0,0.0206376,80.0,0.0333333,0
50,10000,2.59155,342727000000000.0,0.0352325,80.0,0.02,0
70,10000,1.75248,104440000000000.0,0.0536638,80.0,0.0142857,0
600,10000,2.81664,1398180000000000.0,0.325059,80.0,0.00166667,0
800,10000,6.87818,3460190000000000.0,0.434872,80.0,0.00125,0
1200,10000,0.916731,2283460000000000.0,0.730778,80.0,0.000833333,0
200,10000,3.2517,1842520000000000.0,0.103592,80.0,0.005,0
7000,10000,1.37841,4191100000000000.0,4.09349,80.0,0.000142857,0
5,10000,6.29058,10171500000000.0,0.0036588,80.0,0.2,0
10,10000,2.80741,13128700000000.0,0.0068021,80.0,0.1,0
100,10000,2.83322,4585040000000000.0,0.0680576,80.0,0.01,0
125,10000,0.560359,1235220000000000.0,0.0889724,80.0,0.008,0
400,10000,1.56369,4247450000000000.0,0.212234,80.0,0.0025,0
500,10000,0.571615,2447760000000000.0,0.299727,80.0,0.002,0
1000,10000,2.69181,2075800000000000.0,0.547252,80.0,0.001,0
5000,10000,0.012116,3706000000000000.0,2.9116,80.0,0.0002,0
1,10000,0.692205,0.0,0.0009387,80.0,1.0,0
2,10000,6.10859,2535850000000.0,0.0016765,80.0,0.5,0
3,10000,0.529499,8053470000000.0,0.0023273,80.0,0.333333,0
4,10000,1.37111,4704300000000.0,0.002825,80.0,0.25,0
6,10000,2.03846,15544100000000.0,0.0041106,80.0,0.166667,0
7,10000,5.07984,72597900000000.0,0.0050372,80.0,0.142857,0
8,10000,3.36376,53188200000000.0,0.0056304,80.0,0.125,0
9,10000,3.42206,6124080000000.0,0.0061726,80.0,0.111111,0
30,10000,1.55519,105308000000000.0,0.0205649,80.0,0.0333333,0
50,10000,0.898664,161547000000000.0,0.0351603,80.0,0.02,0
70,10000,2.46401,465394000000000.0,0.0411535,80.0,0.0142857,0
600,10000,5.42344,4145030000000000.0,0.333298,80.0,0.00166667,0
800,10000,5.48888,2563910000000000.0,0.446164,80.0,0.00125,0
1200,10000,2.38232,1647870000000000.0,0.692084,80.0,0.000833333,0
200,10000,3.97059,15346200000000.0,0.109799,80.0,0.005,0
7000,10000,5.94357,2536220000000000.0,4.08209,80.0,0.000142857,0
5,10000,7.1123,19794500000000.0,0.003616,80.0,0.2,0
10,10000,5.27962,14941000000000.0,0.007152,80.0,0.1,0
100,10000,0.450439,17550500000000.0,0.0575378,80.0,0.01,0
125,10000,2.97439,8551270000000.0,0.0909572,80.0,0.008,0
400,10000,0.785005,3172240000000000.0,0.239532,80.0,0.0025,0
500,10000,3.98614,1292900000000000.0,0.266983,80.0,0.002,0
1000,10000,2.59451,694271000000000.0,0.598376,80.0,0.001,0
5000,10000,2.55871,3501740000000000.0,2.90693,80.0,0.0002,0
1,10000,10.5571,0.0,0.0009781,80.0,1.0,0
2,10000,6.76691,2210880000000.0,0.0016545,80.0,0.5,0
3,10000,9.69829,4685610000000.0,0.002373,80.0,0.333333,0
4,10000,5.3369,9042170000000.0,0.0033425,80.0,0.25,0
6,10000,3.73202,27995600000000.0,0.0043639,80.0,0.166667,0
7,10000,8.18162,597201000000000.0,0.0049613,80.0,0.142857,0
8,10000,4.09981,57548500000000.0,0.0058966,80.0,0.125,0
9,10000,5.70836,4827020000000.0,0.0061758,80.0,0.111111,0
30,10000,9.70315,181718000000000.0,0.0200924,80.0,0.0333333,0
50,10000,2.20575,163976000000000.0,0.0340463,80.0,0.02,0
70,10000,4.37766,30327000000000.0,0.0418563,80.0,0.0142857,0
600,10000,5.17755,4695030000000000.0,0.314097,80.0,0.00166667,0
800,10000,4.26127,3720750000000000.0,0.454551,80.0,0.00125,0
1200,10000,3.52678,321883000000000.0,0.688261,80.0,0.000833333,0
200,10000,4.31674,214369000000000.0,0.103976,80.0,0.005,0
7000,10000,1.67337,920875000000000.0,4.0499,80.0,0.000142857,0
5,10000,2.05639,15021400000000.0,0.0037426,80.0,0.2,0
10,10000,1.64039,10008200000000.0,0.0068135,80.0,0.1,0
100,10000,1.5278,274389000000000.0,0.0677758,80.0,0.01,0
125,10000,4.4414,2206020000000000.0,0.0980796,80.0,0.008,0
