N,P,APE,kappa,runtime,K,dt,runFile
10,10000,1.65749,1472460000000.0,0.017832,110.0,0.1,0
100,10000,0.226806,6256940000000.0,0.168471,110.0,0.01,0
125,10000,0.186175,7558180000000.0,0.208953,110.0,0.008,0
400,10000,0.372784,21287900000000.0,0.682381,110.0,0.0025,0
500,10000,0.941362,26591200000000.0,0.862172,110.0,0.002,0
1000,10000,0.519652,51543100000000.0,1.72883,110.0,0.001,0
5000,10000,1.14869,261761000000000.0,9.73449,110.0,0.0002,0
5,10000,0.889328,1080620000000.0,0.009152,110.0,0.2,0
10,10000,0.961134,1595280000000.0,0.0181062,110.0,0.1,0
100,10000,1.22501,6372340000000.0,0.188778,110.0,0.01,0
125,10000,0.0306007,7644210000000.0,0.207435,110.0,0.008,0
400,10000,0.144834,21775200000000.0,0.685215,110.0,0.0025,0
500,10000,0.447753,27589400000000.0,0.872884,110.0,0.002,0
1000,10000,1.08488,54031900000000.0,1.76516,110.0,0.001,0
5000,10000,0.421667,256454000000000.0,9.73653,110.0,0.0002,0
5,10000,1.89543,1024110000000.0,0.0088584,110.0,0.2,0
10,10000,1.40494,1477660000000.0,0.0185691,110.0,0.1,0
100,10000,0.0736481,6473560000000.0,0.167723,110.0,0.01,0
125,10000,0.100754,7646370000000.0,0.206517,110.0,0.008,0
400,10000,0.598527,22101100000000.0,0.677143,110.0,0.0025,0
500,10000,0.413185,28086200000000.0,0.871905,110.0,0.002,0
1000,10000,0.670647,53573300000000.0,1.76511,110.0,0.001,0
5000,10000,0.445132,252056000000000.0,9.75224,110.0,0.0002,0
5,10000,2.12376,1079620000000.0,0.0086891,110.0,0.2,0
10,10000,1.39581,1588080000000.0,0.0183098,110.0,0.1,0
100,10000,1.06824,6455620000000.0,0.180312,110.0,0.01,0
125,10000,1.09684,7574110000000.0,0.208895,110.0,0.008,0
400,10000,0.242477,21046100000000.0,0.709726,110.0,0.0025,0
500,10000,0.261674,27325400000000.0,0.895599,110.0,0.002,0
1000,10000,0.0739448,53218500000000.0,1.7785,110.0,0.001,0
5000,10000,0.0860958,264151000000000.0,9.66641,110.0,0.0002,0
5,10000,1.16861,1021970000000.0,0.008563,110.0,0.2,0
10,10000,1.4978,1472930000000.0,0.0186281,110.0,0.1,0
100,10000,0.51722,6504780000000.0,0.177161,110.0,0.01,0
125,10000,0.236186,7890500000000.0,0.20805,110.0,0.008,0
400,10000,0.784591,21927000000000.0,0.671879,110.0,0.0025,0
500,10000,0.111565,28211600000000.0,0.862773,110.0,0.002,0
1000,10000,0.787593,53947400000000.0,1.75497,110.0,0.001,0
5000,10000,0.447585,261853000000000.0,9.63911,110.0,0.0002,0
5,10000,0.473219,1024870000000.0,0.0087103,110.0,0.2,0
10,10000,0.198485,1548570000000.0,0.0181717,110.0,0.1,0
100,10000,0.183604,6337610000000.0,0.170666,110.0,0.01,0
125,10000,0.308226,7839210000000.0,0.204606,110.0,0.008,0
400,10000,0.424404,22022000000000.0,0.677236,110.0,0.0025,0
500,10000,0.290298,28350500000000.0,0.867274,110.0,0.002,0
1000,10000,0.513125,55341700000000.0,1.74405,110.0,0.001,0
5000,10000,0.820047,279421000000000.0,9.64734,110.0,0.0002,0
5,10000,0.563201,1017310000000.0,0.0090362,110.0,0.2,0
10,10000,0.147348,1546900000000.0,0.0181104,110.0,0.1,0
100,10000,0.518246,6254380000000.0,0.169756,110.0,0.01,0
125,10000,1.09891,7750080000000.0,0.212021,110.0,0.008,0
400,10000,0.0593433,21697600000000.0,0.691609,110.0,0.0025,0
500,10000,0.138985,25744100000000.0,0.85718,110.0,0.002,0
1000,10000,1.43665,50696300000000.0,1.75259,110.0,0.001,0
5000,10000,0.722152,262372000000000.0,9.71874,110.0,0.0002,0
5,10000,1.95124,1069660000000.0,0.0088829,110.0,0.2,0
10,10000,0.459927,1548250000000.0,0.018257,110.0,0.1,0
100,10000,0.0963918,6577050000000.0,0.171401,110.0,0.01,0
125,10000,0.818416,7743860000000.0,0.206982,110.0,0.008,0
400,10000,1.39301,22100500000000.0,0.689075,110.0,0.0025,0
500,10000,1.61535,27252100000000.0,0.853873,110.0,0.002,0
1000,10000,1.63132,53035200000000.0,1.74482,110.0,0.001,0
5000,10000,0.460805,264883000000000.0,9.79594,110.0,0.0002,0
5,10000,0.222482,1058100000000.0,0.0089159,110.0,0.2,0
10,10000,0.694848,1552730000000.0,0.0179422,110.0,0.1,0
100,10000,1.11836,6042790000000.0,0.16955,110.0,0.01,0
125,10000,0.232023,7452130000000.0,0.210404,110.0,0.008,0
400,10000,0.961031,22262600000000.0,0.699042,110.0,0.0025,0
500,10000,0.701998,26675200000000.0,0.866975,110.0,0.002,0
1000,10000,0.0880709,51995600000000.0,1.75468,110.0,0.001,0
5000,10000,0.210482,272550000000000.0,9.65566,110.0,0.0002,0
5,10000,1.85823,1040130000000.0,0.0098378,110.0,0.2,0
10,10000,1.32637,1503640000000.0,0.0195627,110.0,0.1,0
100,10000,0.577185,6238830000000.0,0.168215,110.0,0.01,0
125,10000,0.662141,7259110000000.0,0.207259,110.0,0.008,0
400,10000,0.388851,21854700000000.0,0.675686,110.0,0.0025,0
500,10000,0.911106,26085500000000.0,0.860562,110.0,0.002,0
1000,10000,0.735051,49936400000000.0,1.73113,110.0,0.001,0
5000,10000,0.322821,253121000000000.0,9.60482,110.0,0.0002,0
5,10000,1.63169,1084110000000.0,0.0091964,110.0,0.2,0
10,10000,1.43233,1534530000000.0,0.0178494,110.0,0.1,0
100,10000,0.511626,6371950000000.0,0.167776,110.0,0.01,0
125,10000,0.174867,7447350000000.0,0.206649,110.0,0.008,0
400,10000,0.111469,21862200000000.0,0.686366,110.0,0.0025,0
500,10000,0.812474,25618400000000.0,0.857722,110.0,0.002,0
1000,10000,0.471224,51868100000000.0,1.74588,110.0,0.001,0
5000,10000,0.305167,245517000000000.0,9.71334,110.0,0.0002,0
5,10000,1.57157,1004170000000.0,0.0087887,110.0,0.2,0
10,10000,1.62081,1549770000000.0,0.017741,110.0,0.1,0
100,10000,1.07091,6272240000000.0,0.167636,110.0,0.01,0
125,10000,0.657059,7413840000000.0,0.207324,110.0,0.008,0
400,10000,0.437553,21878400000000.0,0.68003,110.0,0.0025,0
500,10000,0.609655,26931700000000.0,0.861991,110.0,0.002,0
1000,10000,0.364802,54145400000000.0,1.74784,110.0,0.001,0
5000,10000,1.29792,267580000000000.0,9.67648,110.0,0.0002,0
5,10000,1.59251,1084610000000.0,0.0090934,110.0,0.2,0
10,10000,1.1898,1539420000000.0,0.0185461,110.0,0.1,0
100,10000,0.237032,6460110000000.0,0.168335,110.0,0.01,0
125,10000,0.0828167,7817810000000.0,0.205548,110.0,0.008,0
400,10000,0.206125,22674200000000.0,0.679708,110.0,0.0025,0
500,10000,0.258341,28355200000000.0,0.863917,110.0,0.002,0
1000,10000,0.466248,54862600000000.0,1.76589,110.0,0.001,0
5000,10000,0.394936,272934000000000.0,9.75896,110.0,0.0002,0
5,10000,2.62987,1050230000000.0,0.0088241,110.0,0.2,0
10,10000,2.1231,1568320000000.0,0.0177839,110.0,0.1,0
100,10000,0.00239516,6048400000000.0,0.171736,110.0,0.01,0
125,10000,0.696404,7610040000000.0,0.21746,110.0,0.008,0
400,10000,0.390431,20953100000000.0,0.675501,110.0,0.0025,0
500,10000,0.518531,28485900000000.0,0.844608,110.0,0.002,0
1000,10000,0.340533,53103100000000.0,1.75604,110.0,0.001,0
5000,10000,1.41959,255435000000000.0,9.71148,110.0,0.0002,0
5,10000,2.38212,1091070000000.0,0.0089936,110.0,0.2,0
10,10000,1.2866,1587280000000.0,0.0175472,110.0,0.1,0
100,10000,0.483302,6375620000000.0,0.167302,110.0,0.01,0
125,10000,0.965711,7827220000000.0,0.206727,110.0,0.008,0
400,10000,0.553395,21485100000000.0,0.680425,110.0,0.0025,0
500,10000,0.764222,27251900000000.0,0.871883,110.0,0.002,0
1000,10000,0.108036,52599400000000.0,1.74787,110.0,0.001,0
5000,10000,0.898385,261942000000000.0,9.72235,110.0,0.0002,0
5,10000,2.20878,1097790000000.0,0.0081466,110.0,0.2,0
10,10000,1.71119,1583580000000.0,0.0174204,110.0,0.1,0
100,10000,0.529049,6487150000000.0,0.168271,110.0,0.01,0
125,10000,1.30816,7771590000000.0,0.205596,110.0,0.008,0
400,10000,1.92819,21332400000000.0,0.678552,110.0,0.0025,0
500,10000,0.534456,26852000000000.0,0.884479,110.0,0.002,0
