Steps,Paths,AbsPercentError,Kappa,Runtime
750,1000,1.34658,7.93531e+12,1.15256
1000,1000,2.49326,1.07127e+13,1.63858
1,1000,9.9729,0,0.0010753
5,1000,3.49041,2.39768e+11,0.0049146
25,1000,0.594895,6.87297e+11,0.0250495
50,1000,0.33545,1.07942e+12,0.0500927
100,1000,6.30354,1.60849e+12,0.103956
150,1000,1.17662,2.26481e+12,0.165744
250,1000,1.40024,2.74148e+12,0.289246
500,1000,2.78869,5.26659e+12,0.722405
750,1000,0.146884,8.54585e+12,1.30993
1000,1000,3.45666,1.04056e+13,1.66611
1,1000,6.31518,0,0.0011369
5,1000,3.93344,2.31929e+11,0.0061941
25,1000,0.696122,7.60752e+11,0.0327872
50,1000,1.49547,9.57856e+11,0.0524732
100,1000,1.88003,1.40783e+12,0.102223
150,1000,1.13512,1.981e+12,0.165059
250,1000,0.416584,3.38015e+12,0.303407
500,1000,0.86797,5.19645e+12,0.704202
750,1000,2.04313,7.16811e+12,1.17649
1000,1000,3.90989,1.03757e+13,1.90685
1,1000,5.66697,0,0.0015724
5,1000,0.423383,2.53873e+11,0.0061142
25,1000,2.67582,7.32987e+11,0.0266048
50,1000,3.93907,1.03326e+12,0.0569699
100,1000,3.58898,1.53471e+12,0.134627
150,1000,2.83894,1.97984e+12,0.172624
250,1000,4.60466,3.61362e+12,0.309079
500,1000,5.77406,5.36605e+12,0.692806
750,1000,4.42964,7.81007e+12,1.15106
1000,1000,1.46355,1.10947e+13,1.88414
1,1000,7.16092,0,0.0012245
5,1000,0.98462,2.52735e+11,0.0084849
25,1000,0.14102,6.65401e+11,0.0336207
50,1000,3.83453,1.03552e+12,0.056533
100,1000,4.01165,1.425e+12,0.110338
150,1000,0.127522,2.55984e+12,0.167097
250,1000,2.60755,3.4771e+12,0.320361
500,1000,6.67665,5.65434e+12,0.762646
750,1000,1.36539,6.96406e+12,1.34534
1000,1000,2.41536,1.10217e+13,1.65841
1,1000,1.5958,0,0.0011194
5,1000,5.02703,2.56421e+11,0.0050552
25,1000,1.6714,7.16059e+11,0.0275302
50,1000,4.6631,1.02415e+12,0.060163
100,1000,4.25375,1.41216e+12,0.131182
150,1000,4.14683,2.01331e+12,0.15803
250,1000,0.591332,2.79939e+12,0.30387
500,1000,1.6964,5.16008e+12,0.709365
750,1000,2.8404,6.95639e+12,1.22887
1000,1000,6.23619,1.16983e+13,1.80658
1,1000,3.15679,0,0.0010268
5,1000,2.03965,2.55984e+11,0.004872
25,1000,0.337742,6.30172e+11,0.0228858
50,1000,0.0270452,1.04327e+12,0.0501683
100,1000,3.47912,1.27086e+12,0.110424
150,1000,1.61318,1.92548e+12,0.163809
250,1000,0.0785926,3.02167e+12,0.288152
500,1000,0.7151,5.33553e+12,0.739224
750,1000,1.88469,7.84807e+12,1.12575
1000,1000,3.42982,1.00148e+13,1.70784
1,1000,4.58916,0,0.0037926
5,1000,1.36489,6.41504e+11,0.0065763
25,1000,6.26414,4.60284e+12,0.0222097
50,1000,3.33136,7.84601e+13,0.0411048
100,1000,4.88404,3.25516e+13,0.0861363
150,1000,5.05721,6.36303e+14,0.12653
250,1000,1.83794,5.86113e+13,0.213939
500,1000,0.216837,4.76215e+13,0.464448
750,1000,0.374682,8.90626e+14,0.775118
1000,1000,7.5207,1.40347e+15,1.11822
1,1000,8.20573,0,0.0012709
5,1000,6.90785,5.24367e+11,0.0054862
25,1000,1.37846,3.02949e+12,0.0235926
50,1000,6.80011,1.05961e+15,0.042991
100,1000,0.549839,1.92639e+14,0.0874892
150,1000,6.83236,3.72742e+14,0.143548
250,1000,3.82133,6.11704e+13,0.246695
500,1000,6.84978,2.11018e+15,0.489714
750,1000,8.24445,1.21129e+14,0.747153
1000,1000,0.633531,8.11873e+14,1.02791
1,1000,6.1588,0,0.0012883
5,1000,15.9915,9.48899e+11,0.0045393
25,1000,1.10903,3.19592e+13,0.0210799
50,1000,14.3325,2.41417e+14,0.0441846
100,1000,5.99984,2.77062e+14,0.0827339
