S0,K,T,r,v,price
100,86,0.08,0.1,0.53,1.0236862221894125
100,86,0.08,0.1,0.61,1.533503550061062
100,86,0.08,0.1,0.69,2.1035721796914597
100,86,0.08,0.1,0.8,2.9591106854449047
100,90,0.08,0.01,0.05,0.0
100,90,0.08,0.01,0.13,0.0019050220976682037
100,90,0.08,0.01,0.21,0.08152701121348493
100,90,0.08,0.01,0.29,0.35398503737105463
100,90,0.08,0.01,0.37,0.7961434553052614
100,90,0.08,0.01,0.45,1.3532880693100755
100,90,0.08,0.01,0.53,1.985897822155593
100,90,0.08,0.01,0.61,2.669047019800718
100,90,0.08,0.01,0.69,3.3870557005827644
100,90,0.08,0.01,0.8,4.413218312658614
100,90,0.08,0.025,0.05,0.0
100,90,0.08,0.025,0.13,0.0017052868913365279
100,90,0.08,0.025,0.21,0.07758638777554067
100,90,0.08,0.025,0.29,0.34344954416586143
100,90,0.08,0.025,0.37,0.7793296697518117
100,90,0.08,0.025,0.45,1.3312795785670448
100,90,0.08,0.025,0.53,1.9596901322950715
100,90,0.08,0.025,0.61,2.639415661656468
100,90,0.08,0.025,0.69,3.3545842801086825
100,90,0.08,0.025,0.8,4.377537669014579
100,90,0.08,0.04,0.05,0.0
100,90,0.08,0.04,0.13,0.001525771852817564
100,90,0.08,0.04,0.21,0.07383702960914498
100,90,0.08,0.04,0.29,0.33326039419351383
100,90,0.08,0.04,0.37,0.7629573066263982
100,90,0.08,0.04,0.45,1.309772968239262
100,90,0.08,0.04,0.53,1.9340263035231415
100,90,0.08,0.04,0.61,2.6103589700219314
100,90,0.08,0.04,0.69,3.322711360048138
100,90,0.08,0.04,0.8,4.342481085772213
100,90,0.08,0.055,0.05,0.0
100,90,0.08,0.055,0.13,0.0013643717746776036
100,90,0.08,0.055,0.21,0.07026435868049004
100,90,0.08,0.055,0.29,0.32338635993866166
100,90,0.08,0.055,0.37,0.746977541825384
100,90,0.08,0.055,0.45,1.2887032836360008
100,90,0.08,0.055,0.53,1.9088269467919285
100,90,0.08,0.055,0.61,2.5817854369780395
100,90,0.08,0.055,0.69,3.291335217539674
100,90,0.08,0.055,0.8,4.307935204431024
100,90,0.08,0.07,0.05,0.0
100,90,0.08,0.07,0.13,0.0012192870103946653
100,90,0.08,0.07,0.21,0.06685776259012614
100,90,0.08,0.07,0.29,0.3138082183114435
100,90,0.08,0.07,0.37,0.7313626014738323
100,90,0.08,0.07,0.45,1.2680353549297652
100,90,0.08,0.07,0.53,1.884050546168573
100,90,0.08,0.07,0.61,2.5536479814984334
100,90,0.08,0.07,0.69,3.260403825959766
100,90,0.08,0.07,0.8,4.273842456861449
100,90,0.08,0.1,0.05,0.0
100,90,0.08,0.1,0.13,0.0009718365494014567
100,90,0.08,0.1,0.21,0.060508735482435336
100,90,0.08,0.1,0.29,0.29548503704736334
100,90,0.08,0.1,0.37,0.7011555960834129
100,90,0.08,0.1,0.45,1.2278159118747312
100,90,0.08,0.1,0.53,1.8356641261413205
100,90,0.08,0.1,0.61,2.498568360323933
100,90,0.08,0.1,0.69,3.199753034863159
100,90,0.08,0.1,0.8,4.206881859226802
100,94,0.08,0.01,0.05,1.2400226487500743e-06
100,94,0.08,0.01,0.13,0.0634314819043881
100,94,0.08,0.01,0.21,0.4272058448472919
100,94,0.08,0.01,0.29,1.0099064516053948
100,94,0.08,0.01,0.37,1.702312746400159
100,94,0.08,0.01,0.45,2.4529903740621313
100,94,0.08,0.01,0.53,3.23737810390568
100,94,0.08,0.01,0.61,4.042636389133088
100,94,0.08,0.01,0.69,4.861465302736671
100,94,0.08,0.01,0.8,6.001624928857985
100,94,0.08,0.025,0.05,8.240261436324679e-07
100,94,0.08,0.025,0.13,0.058719630724482025
100,94,0.08,0.025,0.21,0.4114459776337518
100,94,0.08,0.025,0.29,0.9857179248374034
100,94,0.08,0.025,0.37,1.672284567540838
100,94,0.08,0.025,0.45,2.4187550309849177
100,94,0.08,0.025,0.53,3.1999567656962977
100,94,0.08,0.025,0.61,4.002694458583852
100,94,0.08,0.025,0.69,4.819456814396631
