N,P,APE,kappa,runtime,K,runType
1,10000,3.66312,0.0,0.0077288,95.0,1.0
1,10000,6.64656,0.0,0.0067635,102.5,1.0
1,10000,3.7235,0.0,0.0091864,95.0,1.0
1,10000,3.75436,0.0,0.007692,95.0,1.0
1,10000,6.61204,0.0,0.0073322,102.5,1.0
1,10000,3.69112,0.0,0.0063696,95.0,1.0
1,10000,6.75138,0.0,0.00759,102.5,1.0
1,10000,3.55744,0.0,0.0107476,95.0,1.0
1,10000,6.61817,0.0,0.0063274,102.5,1.0
1,10000,3.79529,0.0,0.0054599,95.0,1.0
1,10000,6.70754,0.0,0.0070611,102.5,1.0
1,10000,3.6409,0.0,0.0091705,95.0,1.0
1,10000,6.70398,0.0,0.0063019,102.5,1.0
1,10000,3.782,0.0,0.00817,95.0,1.0
1,10000,6.66936,0.0,0.0071813,102.5,1.0
1,10000,3.69564,0.0,0.0069497,95.0,1.0
1,10000,6.76403,0.0,0.0064489,102.5,1.0
1,10000,3.68523,0.0,0.0128314,95.0,1.0
1,10000,6.68854,0.0,0.0063716,102.5,1.0
1,10000,3.6729,0.0,0.0093832,95.0,1.0
1,10000,6.671,0.0,0.0063625,102.5,1.0
1,10000,3.77914,0.0,0.007329,95.0,1.0
1,10000,6.66947,0.0,0.0076716,102.5,1.0
1,10000,3.7045,0.0,0.0083591,95.0,1.0
1,10000,6.63866,0.0,0.0104609,102.5,1.0
1,10000,3.85705,0.0,0.0090701,95.0,1.0
1,10000,6.82428,0.0,0.010355,102.5,1.0
1,10000,3.8275,0.0,0.0067595,95.0,1.0
1,10000,6.64074,0.0,0.0112174,102.5,1.0
1,10000,3.72898,0.0,0.009013,95.0,1.0
1,10000,6.71561,0.0,0.0070492,102.5,1.0
1,10000,6.6121,0.0,0.0122803,102.5,1.0
1,10000,7.9478,0.0,0.0032988,105.0,1.0
1,10000,4.6281,0.0,0.0114694,97.5,1.0
1,10000,7.98091,0.0,0.0035015,105.0,1.0
1,10000,7.80252,0.0,0.0035702,105.0,1.0
1,10000,4.57294,0.0,0.0090015,97.5,1.0
1,10000,7.80726,0.0,0.0088157,105.0,1.0
1,10000,4.57828,0.0,0.0066275,97.5,1.0
1,10000,7.6938,0.0,0.0036872,105.0,1.0
1,10000,4.57021,0.0,0.008225,97.5,1.0
1,10000,7.94216,0.0,0.0042147,105.0,1.0
1,10000,4.6263,0.0,0.012103,97.5,1.0
1,10000,7.76594,0.0,0.0037995,105.0,1.0
1,10000,4.51504,0.0,0.0112194,97.5,1.0
1,10000,7.88925,0.0,0.0036216,105.0,1.0
1,10000,4.57929,0.0,0.0082963,97.5,1.0
1,10000,4.54944,0.0,0.0104716,97.5,1.0
1,10000,4.63317,0.0,0.0065973,97.5,1.0
1,10000,7.79751,0.0,0.0035357,105.0,1.0
1,10000,4.56639,0.0,0.0077497,97.5,1.0
1,10000,8.00788,0.0,0.0030859,105.0,1.0
1,10000,4.58622,0.0,0.0066005,97.5,1.0
1,10000,7.90329,0.0,0.0037795,105.0,1.0
1,10000,4.50802,0.0,0.0082492,97.5,1.0
1,10000,7.79247,0.0,0.0044996,105.0,1.0
1,10000,4.62119,0.0,0.0074115,97.5,1.0
1,10000,7.9208,0.0,0.0032005,105.0,1.0
1,10000,4.55386,0.0,0.0079416,97.5,1.0
1,10000,7.93859,0.0,0.0032653,105.0,1.0
1,10000,7.91884,0.0,0.003284,105.0,1.0
1,10000,4.55885,0.0,0.0081877,97.5,1.0
1,10000,7.88044,0.0,0.0062012,105.0,1.0
1,10000,4.60166,0.0,0.0074672,97.5,1.0
1,10000,7.78702,0.0,0.0041314,105.0,1.0
1,10000,4.61916,0.0,0.0094435,97.5,1.0
1,10000,7.76605,0.0,0.0082024,105.0,1.0
1,10000,4.6763,0.0,0.0073804,97.5,1.0
1,10000,7.78852,0.0,0.0033079,105.0,1.0
1,10000,4.61277,0.0,0.007952,97.5,1.0
1,10000,7.79583,0.0,0.0031639,105.0,1.0
1,10000,4.5635,0.0,0.0062504,97.5,1.0
1,10000,7.79473,0.0,0.0045134,105.0,1.0
1,10000,4.56206,0.0,0.0069699,97.5,1.0
1,10000,7.85205,0.0,0.0035836,105.0,1.0
1,10000,4.61976,0.0,0.0061705,97.5,1.0
1,10000,7.75895,0.0,0.0033624,105.0,1.0
1,10000,4.61011,0.0,0.0082669,97.5,1.0
1,10000,7.88948,0.0,0.0029353,105.0,1.0
1,10000,4.62165,0.0,0.0068344,97.5,1.0
1,10000,7.99066,0.0,0.0038148,105.0,1.0
1,10000,4.64365,0.0,0.0092186,97.5,1.0
1,10000,8.0253,0.0,0.0032033,105.0,1.0
1,10000,4.5831,0.0,0.0066219,97.5,1.0
1,10000,7.92361,0.0,0.0032464,105.0,1.0
1,10000,4.57363,0.0,0.0094167,97.5,1.0
